plot,species,count
C,f_cymosa,85
C,f_cymosa,54
C,f_cymosa,68
C,f_cymosa,49
E,f_cymosa,56
E,f_cymosa,38
E,f_cymosa,241
E,f_cymosa,0
C,f_cymosa,78
C,f_cymosa,0
C,f_cymosa,88
C,f_cymosa,0
C,p_procumbens,6
C,p_procumbens,47
C,p_procumbens,50
C,p_procumbens,37
E,p_procumbens,104
E,p_procumbens,23
E,p_procumbens,40
E,p_procumbens,0
C,p_procumbens,35
C,p_procumbens,85
C,p_procumbens,212
C,p_procumbens,35
C,w_indica,18
C,w_indica,10
C,w_indica,6
C,w_indica,2
E,w_indica,43
E,w_indica,7
E,w_indica,7
E,w_indica,9
C,w_indica,11
C,w_indica,16
C,w_indica,3
C,w_indica,6
C,h_polyphyllum,71
C,h_polyphyllum,52
C,h_polyphyllum,44
C,h_polyphyllum,231
E,h_polyphyllum,20
E,h_polyphyllum,8
E,h_polyphyllum,83
E,h_polyphyllum,61
C,h_polyphyllum,71
C,h_polyphyllum,42
C,h_polyphyllum,347
C,h_polyphyllum,124
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,0
E,po_setaceum,2
E,po_setaceum,0
E,po_setaceum,0
E,po_setaceum,2
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,0
C,po_setaceum,1
C,e_neglecta,0
C,e_neglecta,0
C,e_neglecta,0
C,e_neglecta,0
E,e_neglecta,0
E,e_neglecta,0
E,e_neglecta,0
E,e_neglecta,0
C,e_neglecta,0
C,e_neglecta,0
C,e_neglecta,0
C,e_neglecta,0
C,cyperus,2
C,cyperus,3
C,cyperus,0
C,cyperus,0
E,cyperus,7
E,cyperus,0
E,cyperus,0
E,cyperus,2
C,cyperus,3
C,cyperus,0
C,cyperus,2
C,cyperus,0
C,s_jamaicensis,3
C,s_jamaicensis,7
C,s_jamaicensis,0
C,s_jamaicensis,16
E,s_jamaicensis,4
E,s_jamaicensis,7
E,s_jamaicensis,5
E,s_jamaicensis,9
C,s_jamaicensis,0
C,s_jamaicensis,1
C,s_jamaicensis,4
C,s_jamaicensis,4
C,ph_abnormis,1
C,ph_abnormis,0
C,ph_abnormis,4
C,ph_abnormis,0
E,ph_abnormis,2
E,ph_abnormis,4
E,ph_abnormis,5
E,ph_abnormis,15
C,ph_abnormis,3
C,ph_abnormis,12
C,ph_abnormis,0
C,ph_abnormis,1
C,m_acuminata,0
C,m_acuminata,4
C,m_acuminata,2
C,m_acuminata,3
E,m_acuminata,0
E,m_acuminata,0
E,m_acuminata,2
E,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,m_acuminata,0
C,c_roseus,0
C,c_roseus,0
C,c_roseus,3
C,c_roseus,0
E,c_roseus,2
E,c_roseus,0
E,c_roseus,0
E,c_roseus,6
C,c_roseus,0
C,c_roseus,0
C,c_roseus,1
C,c_roseus,4
C,o_simulans,2
C,o_simulans,3
C,o_simulans,1
C,o_simulans,0
E,o_simulans,0
E,o_simulans,5
E,o_simulans,0
E,o_simulans,5
C,o_simulans,3
C,o_simulans,2
C,o_simulans,8
C,o_simulans,0
C,e_littoralis,0
C,e_littoralis,0
C,e_littoralis,0
C,e_littoralis,0
E,e_littoralis,0
E,e_littoralis,0
E,e_littoralis,0
E,e_littoralis,0
C,e_littoralis,0
C,e_littoralis,0
C,e_littoralis,0
C,e_littoralis,0
C,eragostris,0
C,eragostris,0
C,eragostris,0
C,eragostris,0
E,eragostris,0
E,eragostris,0
E,eragostris,0
E,eragostris,3
C,eragostris,0
C,eragostris,1
C,eragostris,0
C,eragostris,0
